year,county,town,incidentDate,incidentTime,city,officerName,officerid,location,type,officerSex,officerRace,townCounty
2012,Cumberland County,Vineland,1/1/12,1:35,,Christopher W Fixler,ChristopherFixlerVineland,111 N 6th St,Other: In Custody At Station,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,9/19/12,22:22,,Christopher Fixler,ChristopherFixlerVineland,S Main Rd/E Chestnut Ave,Traffic Stop,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,9/21/12,21:47,,Christopher Fixler,ChristopherFixlerVineland,771 S East Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,2/11/12,19:41,,Christopher Fixler,ChristopherFixlerVineland,2715 E Chestnut Ave,Other: Nothing,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,4/17/13,4:14,,Christopher Fixler,ChristopherFixlerVineland,309 S Eighth St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,6/13/13,0:14,,Christopher Fixler,ChristopherFixlerVineland,"890 E Walnut Rd, 91",Domestic,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,9/30/12,2:00,,Christopher Fixler,ChristopherFixlerVineland,3926 N Delsea Dr,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,7/14/13,2:17,,Christopher Fixler,ChristopherFixlerVineland,1070 W Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,9/30/12,2:15,,Christopher Fixler,ChristopherFixlerVineland,111 N Sixth St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,3/11/12,3:47,,Christopher Fixler,ChristopherFixlerVineland,"1001 W Landis Ave, S1",Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,3/14/12,22:20,,Christopher Fixler,ChristopherFixlerVineland,729 E Chestnut Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,4/14/12,0:11,,Christopher Fixler,ChristopherFixlerVineland,596 Northwest Blvd,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,8/9/13,5:20,,Christopher Fixler,ChristopherFixlerVineland,"998 W Landis Ave, 112",Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,11/12/13,21:49,,Christopher Fixler,ChristopherFixlerVineland,1291 Mc Mahan Dr,Other: Nothing,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,4/21/12,22:40,,Christopher Fixler,ChristopherFixlerVineland,533 E Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,11/16/12,1:35,,Christopher Fixler,ChristopherFixlerVineland,825 E Elmer St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,11/18/12,0:46,,Christopher Fixler,ChristopherFixlerVineland,596 Northwest Blvd,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,11/25/12,21:19,,Christopher Fixler,ChristopherFixlerVineland,"733 S East Ave, A","Crime In Progress, Domestic",Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,3/31/13,22:23,,Christopher Fixler,ChristopherFixlerVineland,E Peach St/N Sixth St,Other: Nothing,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,5/30/12,21:19,,Christopher Fixler,ChristopherFixlerVineland,596 Northwest Blvd,Domestic,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,6/10/12,3:43,,Christopher Fixler,ChristopherFixlerVineland,111 N Sixth St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,5/1/15,15:37,,Christopher Fixler,ChristopherFixlerVineland,3427 N Delsea Dr,Other: Nothing,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,1/17/15,2:34,,Christopher Fixler,ChristopherFixlerVineland,1027 Florence Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,5/15/15,18:24,,Christopher Fixler,ChristopherFixlerVineland,North St/N East Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,5/25/15,18:15,,Christopher Fixler,ChristopherFixlerVineland,111 N Sixth St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,7/16/15,13:43,,Christopher Fixler,ChristopherFixlerVineland,111 N Sixth St,Other: Refusing Commands During Processing,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,6/13/15,16:16,,Christopher Fixler,ChristopherFixlerVineland,3849 S Delsea Dr,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,8/3/15,16:35,,Christopher Fixler,ChristopherFixlerVineland,1138 E Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,8/4/15,22:19,,Christopher Fixler,ChristopherFixlerVineland,1070 W Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2014,Cumberland County,Vineland,3/10/14,19:30,,Christopher W Fixler,ChristopherFixlerVineland,965 Alexander Dr,Domestic,Male,WHITE,"Vineland, Cumberland County"
2014,Cumberland County,Vineland,6/17/14,1:19,,Christopher Fixler,ChristopherFixlerVineland,S Sixth St/E Elmer St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,3/21/15,1:19,,Christopher Fixler,ChristopherFixlerVineland,2196 W Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2014,Cumberland County,Vineland,7/2/14,22:20,,Christopher Fixler,ChristopherFixlerVineland,1070 W Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2014,Cumberland County,Vineland,3/29/14,2:24,,Christopher Fixler,ChristopherFixlerVineland,1001 W Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2016,Cumberland County,Vineland,6/25/16,19:50,,Christopher Fixler,ChristopherFixlerVineland,876 S Brewster Rd,Other: Edp,Male,WHITE,"Vineland, Cumberland County"
2016,Cumberland County,Vineland,11/21/16,19:07,,Christopher Fixler,ChristopherFixlerVineland,1045 E Chestnut Ave,Other: Edp,Male,WHITE,"Vineland, Cumberland County"
2016,Cumberland County,Vineland,5/10/16,16:26,,Christopher Fixler,ChristopherFixlerVineland,"712 E Cherry St, 2",Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2016,Cumberland County,Vineland,5/18/16,11:38,,Christopher Fixler,ChristopherFixlerVineland,1667 E Landis Ave,Other: Subject Refusing To Go With Ems,Male,WHITE,"Vineland, Cumberland County"
2016,Cumberland County,Vineland,12/16/16,18:24,,Christopher Fixler,ChristopherFixlerVineland,"3592 N Delsea Dr, 20",Other: Edp,Male,WHITE,"Vineland, Cumberland County"
2012,Monmouth County,Eatontown,3/31/12,2:11,,Christopher J Casson,ChristopherJCassonEatontown,Victoria Commons parking lot,Other Dispute,Male,WHITE,"Eatontown, Monmouth County"
2014,Monmouth County,Eatontown,12/5/14,19:51,,Christopher J Casson,ChristopherJCassonEatontown,Rt 36 E Between Rt 18 & Grant Av,Traffic Stop,Male,WHITE,"Eatontown, Monmouth County"
2012,Monmouth County,Eatontown,8/11/12,17:15,,Christopher J Casson,ChristopherJCassonEatontown,91A Throckmorton Avenue,Other Dispute,Male,WHITE,"Eatontown, Monmouth County"
2012,Monmouth County,Eatontown,9/10/12,23:57,,Christopher J Casson,ChristopherJCassonEatontown,83B Throckmorton Avenue,Other: Warrant Service. Obstruction Of Justice,Male,WHITE,"Eatontown, Monmouth County"
2013,Monmouth County,Eatontown,1/1/13,0:28,,Christopher J Casson,ChristopherJCassonEatontown,Bogart's - 613 Hope Road,Other Dispute,Male,WHITE,"Eatontown, Monmouth County"
2013,Monmouth County,Eatontown,1/2/13,4:17,Eatontown,Christopher J Casson,ChristopherJCassonEatontown,611 Mill Pond Way,Other: Warrant Service,Male,WHITE,"Eatontown, Monmouth County"
2016,Monmouth County,Eatontown,1/26/16,23:47,Eatontown,Christopher Casson,ChristopherJCassonEatontown,"128 Eatoncrest Drive Apt A, NJ 07724",Domestic,Male,WHITE,"Eatontown, Monmouth County"
2013,Monmouth County,Eatontown,5/6/13,13:12,,Christopher J Casson,ChristopherJCassonEatontown,CVR - 15 Meridian Road,Other: Mental Health Crisis,Male,WHITE,"Eatontown, Monmouth County"
2013,Monmouth County,Eatontown,7/5/13,18:24,,Christopher J Casson,ChristopherJCassonEatontown,Monmouth Mall by AMC Theater,Crime In Progress,Male,WHITE,"Eatontown, Monmouth County"
2013,Monmouth County,Eatontown,7/20/13,0:15,,Christopher J Casson,ChristopherJCassonEatontown,Eatontown Police Headquarters,Other: Intoxicated Person,Male,WHITE,"Eatontown, Monmouth County"
2013,Monmouth County,Eatontown,9/13/13,22:30,,Christopher J Casson,ChristopherJCassonEatontown,Outside of the AMC Theater,Crime In Progress,Male,WHITE,"Eatontown, Monmouth County"
2013,Monmouth County,Eatontown,12/26/13,13:42,,Christopher J Casson,ChristopherJCassonEatontown,Monmouth Mall near Entry 6,Traffic Stop,Male,WHITE,"Eatontown, Monmouth County"
2014,Monmouth County,Eatontown,9/13/14,4:22,,Christopher J Casson,ChristopherJCassonEatontown,Lewis Street - Broad Street,Suspicious Person,Male,WHITE,"Eatontown, Monmouth County"
2014,Monmouth County,Eatontown,9/13/14,21:10,,Christopher J Casson,ChristopherJCassonEatontown,47 Country Club Rd Apt 224,Domestic,Male,WHITE,"Eatontown, Monmouth County"
2015,Atlantic County,Atlantic City,8/29/15,20:48,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Kentucky and Arctic avenues,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,7/29/15,22:25,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Brigantine Homes,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,12/13/15,19:44,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Ocean and Pacific Avenues,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,7/29/15,23:00,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"Brigantine homes, 1120 N Brigantine Blvd, NJ 08401",Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,9/26/15,19:33,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"Browns park, N Martin luther king BLVD, baltic avenue, NJ 08401",Suspicious Person,Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,9/25/15,7:26,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"holding cell, 2715 Atlantic Ave, NJ 08401",Domestic,Male,WHITE,"Atlantic City, Atlantic County"
2016,Atlantic County,Atlantic City,12/4/16,19:57,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"Save-A-Lot, 1501 Atlantic Ave, NJ 08401","Suspicious Person, Other: Disorderly Male",Male,WHITE,"Atlantic City, Atlantic County"
2016,Atlantic County,Atlantic City,6/27/16,0:13,Absecon,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"Street end, 54 West Bolton Avenue, NJ 08201","Other: Motor Vehicle Stop, Car Pursuit",Male,WHITE,"Atlantic City, Atlantic County"
2016,Atlantic County,Atlantic City,10/28/16,18:30,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"124 North Georgia Avenue, 124 Georgia Avenue Ave, NJ 08401","Domestic, Other: I Was Not Wearing My Axon Body Camera At The Time Of The Incident Due To The Insufficient Camera Mounts Available At Roll Call And Did Not Have The Opportunity To Retrieve One Before This Incident Occurred (Be Advised This Was Our First Dispatched Call Of The Evening). My Partner Activated His Body Camera Immediately Upon Being Dispatched To This Incident-898",Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,9/4/15,18:17,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Sovereign and artic avenues,Other: Psychiatric Patient Who Needed Transport Via Ambulance To The Hospital Who Bacame Combative With Medical Personnel,Male,WHITE,"Atlantic City, Atlantic County"
2016,Atlantic County,Atlantic City,6/12/16,1:59,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"Beack Block South Carolina, NJ",Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2016,Atlantic County,Atlantic City,7/2/16,21:53,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"Mlk and Atlantic Avenues, S Martin Luther King Blvd, NJ","Suspicious Person, Other: Investigating Male In Regards To A Previous Shoplifting Case 16-063153",Male,WHITE,"Atlantic City, Atlantic County"
2016,Atlantic County,Atlantic City,9/3/16,7:03,Atlantic City,Christopher J Dodson,ChristopherJDodsonAtlanticCity,"2715 Atlantic Ave, NJ 08401","Crime In Progress, Other: Matched Description For Shooting",Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,11/30/13,4:01,,Christopher Dodson,ChristopherJDodsonAtlanticCity,Unit North Block of Bellevue Avenue,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,8/30/14,22:50,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Bally's Beach Bar,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,8/29/14,19:30,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Caesar's Pier,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,7/26/14,21:20,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Arkansas and The Boardwalk,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,8/23/13,17:14,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Beach Block Michigan Ave,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,7/13/14,0:45,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Beach Block New Jersey,Domestic,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,2/1/14,0:03,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Tennessee Avenue/Boardwalk,Other: Unconscious Male,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,6/21/14,2:30,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Bally's Casino,Other Dispute,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,7/5/14,0:10,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Beach Block Michigan,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,5/24/14,2:55,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Chelsea and Pacific Avenue,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,5/5/14,4:15,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Holding,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,6/8/14,4:04,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Bally's Casino,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,6/1/14,1:30,,Christopher J Dodson,ChristopherJDodsonAtlanticCity,Brighton Avenue/Pacific Avenue,Traffic Stop,Male,WHITE,"Atlantic City, Atlantic County"
2012,Middlesex County,South River,9/9/12,BLANK,,Christopher J Flores,ChristopherJFloresSouthRiver,63 C Rubin Street,Domestic,Male,WHITE,"South River, Middlesex County"
2012,Middlesex County,South River,3/15/12,0:43,,Christopher Flores,ChristopherJFloresSouthRiver,66 Main Street,Suspicious Person,Male,WHITE,"South River, Middlesex County"
2015,Middlesex County,South River,2/19/15,23:12,,Christopher J Flores,ChristopherJFloresSouthRiver,Rt 535 Bridge,Other: Concealing/Consuming C.D.S. (Marijuana) In Mouth,Male,WHITE,"South River, Middlesex County"
2013,Middlesex County,South River,9/14/13,1:04,,Christopher J Flores,ChristopherJFloresSouthRiver,Acapulco Tropicana Bar,Other Dispute,Male,WHITE,"South River, Middlesex County"
2014,Middlesex County,South River,4/10/14,19:10,,Christopher J Flores,ChristopherJFloresSouthRiver,51 Jackson Street,Domestic,Male,WHITE,"South River, Middlesex County"
2013,Middlesex County,South River,8/3/13,21:34,,Christopher J Flores,ChristopherJFloresSouthRiver,26 Water Street,Suspicious Person,Male,WHITE,"South River, Middlesex County"
2015,Middlesex County,South River,7/1/15,0:02,,Christopher J Flores,ChristopherJFloresSouthRiver,Whitehead Avenue/Yates Avenue,Traffic Stop,Male,WHITE,"South River, Middlesex County"
2013,Middlesex County,South River,5/8/13,2:27,South River,Christopher J Flores,ChristopherJFloresSouthRiver,"18 Continental Ct, NJ",Crime In Progress,Male,WHITE,"South River, Middlesex County"
2015,Middlesex County,South River,8/22/15,22:08,,Christopher J Flores,ChristopherJFloresSouthRiver,11 Florence Street,Other Dispute,Male,WHITE,"South River, Middlesex County"
2016,Middlesex County,South River,5/31/16,21:00,,Christopher J Flores,ChristopherJFloresSouthRiver,Varga Park,Suspicious Person,Male,WHITE,"South River, Middlesex County"
2016,Middlesex County,South River,3/8/16,18:57,South River,Christopher J Flores,ChristopherJFloresSouthRiver,"16 Mako Court, NJ 08882",Other: Disturbance,Male,WHITE,"South River, Middlesex County"
2013,Middlesex County,South River,2/1/13,22:24,,Christopher J Flores,ChristopherJFloresSouthRiver,23 William Street Apt 3,Other: Rescue Squad Call,Male,WHITE,"South River, Middlesex County"
2013,Camden County,Camden,2/21/13,20:19,,Christopher J Frucci,ChristopherJFrucciCamden,5th & York,Crime In Progress,Male,WHITE,"Camden, Camden County"
2012,Camden County,Camden,4/26/12,21:05,,Christopher J Frucci,ChristopherJFrucciCamden,27th & Sherman,Traffic Stop,Male,WHITE,"Camden, Camden County"
2012,Camden County,Camden,1/6/12,22:26,,Christopher J Frucci,ChristopherJFrucciCamden,Trent & Essex,Crime In Progress,Male,WHITE,"Camden, Camden County"
2012,Camden County,Camden,5/19/12,1:45,Camden,Christopher J Frucci,ChristopherJFrucciCamden,"800 Federal St, NJ",Crime In Progress,Male,WHITE,"Camden, Camden County"
2012,Camden County,Camden,1/26/12,19:34,,Christopher J Frucci,ChristopherJFrucciCamden,Norris & Morton,Suspicious Person,Male,WHITE,"Camden, Camden County"
2012,Camden County,Camden,7/5/12,22:50,,Christopher J Frucci,ChristopherJFrucciCamden,9th & Haddon,Traffic Stop,Male,WHITE,"Camden, Camden County"
2012,Camden County,Camden,3/7/12,23:13,Camden,Christopher J Frucci,ChristopherJFrucciCamden,"550 Pine St, NJ",Crime In Progress,Male,WHITE,"Camden, Camden County"
2013,Camden County,Camden,1/24/13,21:37,,Christopher J Frucci,ChristopherJFrucciCamden,Thorn & Chase (IVY Hill Apts),Crime In Progress,Male,WHITE,"Camden, Camden County"
2013,Camden County,Camden,5/26/13,16:29,,Christopher J Frucci,ChristopherJFrucciCamden,3rd & Byron,Crime In Progress,Male,WHITE,"Camden, Camden County"
2013,Camden County,Camden,5/26/13,16:29,,Christopher J Frucci,ChristopherJFrucciCamden,3rd & Byron,Crime In Progress,Male,WHITE,"Camden, Camden County"
2013,Camden County,Camden,5/26/13,16:29,,Christopher J Frucci,ChristopherJFrucciCamden,3rd & Byron,Crime In Progress,Male,WHITE,"Camden, Camden County"
2013,Camden County,Camden,11/15/13,5:00,,Christopher J Frucci,ChristopherJFrucciCamden,Louis & Sheridan,Suspicious Person,Male,WHITE,"Camden, Camden County"
2013,Camden County,Camden,10/31/13,16:17,,Christopher J Frucci,ChristopherJFrucciCamden,41st & Westfield,Suspicious Person,Male,WHITE,"Camden, Camden County"
2012,Cumberland County,Vineland,2/6/12,22:17,,Christopher Landi,ChristopherLandiVineland,821 N Main Rd,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,4/22/13,19:54,,Christopher Landi,ChristopherLandiVineland,2651 S Delsea Dr,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,10/1/12,19:24,,Christopher Landi,ChristopherLandiVineland,511 E Plum St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,2/2/13,0:23,,Christopher Landi,ChristopherLandiVineland,775 S Sixth St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,10/30/13,19:57,,Christopher Landi,ChristopherLandiVineland,S Seventh St/E Almond St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,7/2/13,16:52,,Christopher Landi,ChristopherLandiVineland,Myrtle St/E Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,7/23/12,19:03,,Christopher Landi,ChristopherLandiVineland,101 Northeast Blvd,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2013,Cumberland County,Vineland,3/13/13,20:30,,Christopher Landi,ChristopherLandiVineland,E Plum St/N Seventh St,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2012,Cumberland County,Vineland,12/13/12,1:26,,Christopher Landi,ChristopherLandiVineland,1032 E Landis Ave,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,9/16/15,16:38,,Christopher Landi,ChristopherLandiVineland,508 N Fourth St,Other: Medical Assist,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,9/18/15,16:08,,Christopher Landi,ChristopherLandiVineland,829 E Elmer St,Other: Edp,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,8/9/15,17:14,,Christopher Landi,ChristopherLandiVineland,542 Bradford Dr,Crime In Progress,Male,WHITE,"Vineland, Cumberland County"
2015,Cumberland County,Vineland,3/17/15,17:58,,Christopher Landi,ChristopherLandiVineland,115 S. West Avenue,Domestic,Male,WHITE,"Vineland, Cumberland County"
2014,Cumberland County,Vineland,3/22/14,10:45,,Christopher Landi,ChristopherLandiVineland,437 W Park Ave,Traffic Stop,Male,WHITE,"Vineland, Cumberland County"
2012,Atlantic County,Atlantic City,12/29/12,18:20,,Christopher L Lodico,ChristopherLLoDicoAtlanticCity,500 Connecticut,Other: Dog Attack,Male,WHITE,"Atlantic City, Atlantic County"
2012,Atlantic County,Atlantic City,2/27/12,3:15,,Christopher L Lodico,ChristopherLLoDicoAtlanticCity,Borgata,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2012,Atlantic County,Atlantic City,7/21/12,22:20,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,BB Florida,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2012,Atlantic County,Atlantic City,7/7/12,10:40,,Christopher L Lodico,ChristopherLLoDicoAtlanticCity,Brighton and the Wood,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2012,Atlantic County,Atlantic City,7/4/12,20:08,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Beach Block Arkansas,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2012,Atlantic County,Atlantic City,9/16/12,2:00,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Sovereign and the Bay,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2012,Atlantic County,Atlantic City,10/5/12,10:09,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,St James and Pacific,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,1/30/15,23:28,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Texas and Atlantic Aves,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2015,Atlantic County,Atlantic City,1/16/15,7:35,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Tennessee and Pacific,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,3/16/13,2:40,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Texas and the Boardwalk,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,9/26/13,15:10,,Christopher L Lodico,ChristopherLLoDicoAtlanticCity,100 Block N. North Carolina,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,1/23/13,2:27,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,South Carolina and Pacific Avenue,Other: Truancy,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,9/9/13,12:09,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Caesers Pier,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,9/22/13,3:26,,Christopher L Lodico,ChristopherLLoDicoAtlanticCity,Caesars Casino,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,1/6/13,11:34,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Arkansas and Arctic,Other: Suspicious Person,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,11/21/13,16:52,,Christopher LoDico,ChristopherLLoDicoAtlanticCity,1510 Pacific Avenue,Other: Disorderly Male,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,9/2/13,13:08,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Beach Block Ocean,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2013,Atlantic County,Atlantic City,10/15/13,20:45,,Christopher L Lodico,ChristopherLLoDicoAtlanticCity,Expressway Connector,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,10/30/14,22:45,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,California and Arctic,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,10/30/14,20:45,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,California and Arctic,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Atlantic County,Atlantic City,10/25/14,18:30,,Christopher L LoDico,ChristopherLLoDicoAtlanticCity,Chelsea Hotel,Crime In Progress,Male,WHITE,"Atlantic City, Atlantic County"
2014,Mercer County,Lawrence,11/29/14,22:15,,Christopher Longo,ChristopherLongoLawrence,2 Britton Ct,Domestic,Male,WHITE,"Lawrence, Mercer County"
2012,Mercer County,Lawrence,1/31/12,23:43,,Christopher Longo,ChristopherLongoLawrence,4100 Quakerbridge Rd,Crime In Progress,Male,WHITE,"Lawrence, Mercer County"
2014,Mercer County,Lawrence,7/18/14,1:15,,Christopher Longo,ChristopherLongoLawrence,Golden Pl,Other: Investigation Suspicious Activity,Male,WHITE,"Lawrence, Mercer County"
2014,Mercer County,Lawrence,10/14/14,16:08,,Christopher Longo,ChristopherLongoLawrence,20 Stonicker Dr,Domestic,Male,WHITE,"Lawrence, Mercer County"
2015,Mercer County,Lawrence,7/11/15,11:45,,Christopher Longo,ChristopherLongoLawrence,RT 1/Maplewood Av,Other: Warrant Arrest,Male,WHITE,"Lawrence, Mercer County"
2013,Mercer County,Lawrence,1/18/13,0:20,,Christopher Longo,ChristopherLongoLawrence,Brunswick Pk / Maplewood,Traffic Stop,Male,WHITE,"Lawrence, Mercer County"
