officerid,count,name,dept
ThomasPrimaveraSeaIsleCity,4,Thomas Primavera,"Sea Isle City, Cape May County"
MichaelDeGrazioMontclair,4,Michael DeGrazio,"Montclair, Essex County"
NicholasSWallaceRiverside,4,Nicholas S Wallace,"Riverside, Burlington County"
ThomasPRoccoEggHarborTownship,4,Thomas P Rocco,"Egg Harbor Township, Atlantic County"
ChristopherEavisDeptford,4,Christopher Eavis,"Deptford, Gloucester County"
ChristopherCuneoLyndhurst,4,Christopher Cuneo,"Lyndhurst, Bergen County"
ChristopherCMakwinskiManalapan,4,Christopher C Makwinski,"Manalapan, Monmouth County"
MichaelDepalmaHoboken,4,Michael Depalma,"Hoboken, Hudson County"
ThomasRipoliFortLee,4,Thomas Ripoli,"Fort Lee, Bergen County"
MichaelDFairlieBoundBrook,4,Michael D Fairlie,"Bound Brook, Somerset County"
ChristopherBondNorthPlainfield,4,Christopher Bond,"North Plainfield, Somerset County"
ChristopherBHernerGlassboro,4,Christopher B Herner,"Glassboro, Gloucester County"
MichaelHackmanWaterford,4,Michael D Hackman,"Waterford, Camden County"
ChristopherAndrewsFairfield,4,Christopher U Andrews,"Fairfield, Essex County"
ThomasShermanGloucester,4,Thomas Sherman,"Gloucester, Camden County"
ThomasSmithEdgewater,4,Thomas Smith,"Edgewater, Bergen County"
ChristopherAJonesPennsauken,4,Christopher Jones,"Pennsauken, Camden County"
MichaelDLongfellowWashington,4,Michael D Longfellow,"Washington, Gloucester County"
ChristineMSavageNeptuneTownship,4,Christine M Savage,"Neptune Township, Monmouth County"
ChristineASchmidtEvesham,4,Christine A Schmidt,"Evesham, Burlington County"
ChristinaForteUnionCity,4,Christina Forte,"Union City, Hudson County"
MichaelRDoverLittleEggHarbor,4,Michael Dover,"Little Egg Harbor, Ocean County"
NicholasSangiorgioCherryHill,4,Nicholas Sangiorgio,"Cherry Hill, Camden County"
ChristinaBlueFortLee,4,Christina Blue,"Fort Lee, Bergen County"
ChristianWLaCiceroLavallette,4,Christian W LaCicero,"Lavallette, Ocean County"
MichaelEatonBranchburg,4,Michael Eaton,"Branchburg, Somerset County"
MichaelEBraxtonAtlanticCity,4,Michael E Braxton,"Atlantic City, Atlantic County"
ChristianLottClark,4,Christian Lott,"Clark, Union County"
NicholasSAngeramiKeansburg,4,Nicholas S Angerami,"Keansburg, Monmouth County"
MichaelEBrzostowskiBayonne,4,Michael E Brzostowski,"Bayonne, Hudson County"
ChristopherMStephensonPemberton,4,Chris Stephenson,"Pemberton, Burlington County"
ChrisSRoganKeansburg,4,Chris S Rogan,"Keansburg, Monmouth County"
ChrisovalandisMagerosCamden,4,Chrisovalandis Mageros,"Camden, Camden County"
ThomasVanHoutenRoxbury,4,Thomas Van Houten,"Roxbury, Morris County"
ChrisNicholasFairfield,4,Chris Nicholas,"Fairfield, Essex County"
ChristopherMWeckenmanHillsborough,4,Chris M Weckenman,"Hillsborough, Somerset County"
ThomasWallaceLittleEggHarbor,4,Thomas Wallace,"Little Egg Harbor, Ocean County"
ChrisLyonsWoodbridge,4,Chris Lyons,"Woodbridge, Middlesex County"
ChrisLLoDicoAtlanticCity,4,Chris Lodico,"Atlantic City, Atlantic County"
ChrisHovanBayonne,4,Chris Hovan,"Bayonne, Hudson County"
ChristopherSHaskinsSomersPoint,4,Chris Haskins,"Somers Point, Atlantic County"
ChrisGialanellaNewark,4,Chris Gialanella,"Newark, Essex County"
ChristopherJDuncanTintonFalls,4,Chris Duncan,"Tinton Falls, Monmouth County"
AAlvarezClifton,4,A Alvarez,"Clifton, Passaic County"
ChristopherAHumesMoorestown,4,Chris A Humes,"Moorestown, Burlington County"
ChesterBrownLinwood,4,Chester Brown,"Linwood, Atlantic County"
MichaelFeeneyCamden,4,Michael Feeney,"Camden, Camden County"
MichaelFGabbianelliMonroe,4,Michael F Gabbianelli,"Monroe, Gloucester County"
MichaelFHatlerEvesham,4,Michael F Hatler,"Evesham, Burlington County"
CherylNCampbellCamden,4,Cheryl N Campbell,"Camden, Camden County"
CherylAMcCarthyHamilton,4,Cheryl McCarthy,"Hamilton, Atlantic County"
CharlesSprockPassaic,4,Charles Sprock,"Passaic, Passaic County"
CharlesRyderEdgewaterPark,4,Charles Ryder,"Edgewater Park, Burlington County"
CharlesLSteeverTrenton,4,Charles L Steever,"Trenton, Mercer County"
CharlesKeenanElmwoodPark,4,Charles Keenan,"Elmwood Park, Bergen County"
TimothyLHennHillside,4,Timothy Henn,"Hillside, Union County"
TimothyHudnallMountLaurel,4,Timothy Hudnall,"Mount Laurel, Burlington County"
CharlesJHenrySeasideHeights,4,Charles J Henry,"Seaside Heights, Ocean County"
CharlesFMillerAtlanticCity,4,Charles F Miller,"Atlantic City, Atlantic County"
CharlesELevachFlorence,4,Charles Levach,"Florence, Burlington County"
MichaelForteBelleville,4,Michael Forte,"Belleville, Essex County"
CharlesRCrincoliEdison,4,Charles Crincoli,"Edison, Middlesex County"
CharlesCampbellHoboken,4,Charles Campbell,"Hoboken, Hudson County"
CharlesATeatorSayreville,4,Charles A Teator,"Sayreville, Middlesex County"
CharleighDuffordHazlet,4,Charleigh Dufford,"Hazlet, Monmouth County"
ChantelNBrochuUniontownship,4,Chantel Brochu,"Union township, Union County"
ChadAlesandrelliBelleville,4,Chad Alesandrelli,"Belleville, Essex County"
NicholasPernaRidgefieldPark,4,Nicholas A Perna,"Ridgefield Park, Bergen County"
NicholasPalumboCamden,4,Nicholas Palumbo,"Camden, Camden County"
NicholasPalmisanoVernon,4,Nicholas Palmisano,"Vernon, Sussex County"
ChristopherKellerElizabeth,4,C G Keller,"Elizabeth, Union County"
ChrisGantLongBranch,4,C Gant,"Long Branch, Monmouth County"
ChrisJGallagherWall,4,C Gallagher,"Wall, Monmouth County"
MichaelGiampietroCliffsidePark,4,Michael Giampietro,"Cliffside Park, Bergen County"
CesarHeyaimePaterson,4,Cesar Heyaime,"Paterson, Passaic County"
TimothyPKolodziejOceanTownship,4,Timothy Kolodziej,"Ocean Township, Monmouth County"
CCVicenteNJSP,4,C C Vicente,"NJSP, State Police"
NicholasMuscenteEwing,4,Nicholas Muscente,"Ewing, Mercer County"
CColanerFreeholdBoro,4,C.D Colaner,"Freehold Boro, Monmouth County"
MichaelGPtaszenskiBerkeley,4,Michael G Ptaszenski,"Berkeley, Ocean County"
CaseyDCrawfordNeptuneTownship,4,Casey D Crawford,"Neptune Township, Monmouth County"
TimothyMisselCherryHill,4,Timothy Missel,"Cherry Hill, Camden County"
CarmenRiveraNewark,4,Carmen Rivera,"Newark, Essex County"
MichaelGrassoSouthPlainfield,4,Michael Grasso,"South Plainfield, Middlesex County"
CarlyKValentinoHillsborough,4,Carly K Valentino,"Hillsborough, Somerset County"
TimothyWO'BrienCranford,4,Timothy O'Brien,"Cranford, Union County"
CarlosFerreiroReadington,4,BLANK Ferreiro,"Readington, Hunterdon County"
CarlosECastilloJerseyCity,4,Carlos E Castillo,"Jersey City, Hudson County"
MichaelHallmanSouthBrunswick,4,Michael Hallman,"South Brunswick, Middlesex County"
TimothyServisCherryHill,4,Timothy Servis,"Cherry Hill, Camden County"
CarlosAMoreiraJerseyCity,4,Carlos A Moreira,"Jersey City, Hudson County"
MichaelMHatzimihalisRockawayTwp,4,Michael Hatzimihalis,"Rockaway Twp, Morris County"
CarlosAdornoNewBrunswick,4,Carlos Adorno,"New Brunswick, Middlesex County"
CarlosPAbadeWestWindsor,4,Carlos Abade,"West Windsor, Mercer County"
CarlDGrahamPerthAmboy,4,Carl D Graham,"Perth Amboy, Middlesex County"
ToddCGallaCranbury,4,Todd C Galla,"Cranbury, Middlesex County"
BryanOneillAtlanticCity,4,Bryan Oneill,"Atlantic City, Atlantic County"
ToddJCompesiClifton,4,Todd J Compesi,"Clifton, Passaic County"
BryanJSitesSouthBrunswick,4,Bryan J Sites,"South Brunswick, Middlesex County"
BryanJaremczakWoodbridge,4,Bryan Jaremczak,"Woodbridge, Middlesex County"
BryanHendersonPassaic,4,Bryan J Henderson,"Passaic, Passaic County"
BryanTGadsbyHamilton,4,Bryan Gadsby,"Hamilton, Mercer County"
BryanFO'HareMarlboro,4,Bryan F O'Hare,"Marlboro, Monmouth County"
ToddWiditzManville,4,Todd Widitz,"Manville, Somerset County"
MichaelJBarbatoWoodbridge,4,Michael J Barbato,"Woodbridge, Middlesex County"
TomikaLSommersTrenton,4,Tomika L Sommers,"Trenton, Mercer County"
BruceAStankiewiczPlainsboro,4,Bruce Stankiewicz,"Plainsboro, Middlesex County"
NicholasLetoFairview,4,Nicholas Leto,"Fairview, Bergen County"
TommyMMyersWashington,4,Tommy M Myers,"Washington, Gloucester County"
TonekaEdmondsOrange,4,Toneka Edmonds,"Orange, Essex County"
MichaelJBurnsCinnaminson,4,Michael J Burns,"Cinnaminson, Burlington County"
BrittneyFornarottoEwing,4,Brittney Fornarotto,"Ewing, Mercer County"
MichaelJCamerataMansfield,4,Michael J Camerata,"Mansfield, Warren County"
TonyaSchneiderHawthorne,4,Tonya Schneider,"Hawthorne, Passaic County"
BrieerDoggettTrenton,4,Brieer Doggett,"Trenton, Mercer County"
TParksDeptford,4,T Parks,"Deptford, Gloucester County"
TracieAshfordNewark,4,Tracie Ashford,"Newark, Essex County"
TracyJMcGriffWashington,4,Tracy J McGriff,"Washington, Gloucester County"
MichaelJDoranMonroe,4,Michael J Doran,"Monroe, Gloucester County"
TracyPolkShrewsbury,4,Tracy Polk,"Shrewsbury, Monmouth County"
BrianVenturaEastBrunswick,4,Brian Ventura,"East Brunswick, Middlesex County"
BrianVanderstadPomptonLakes,4,Brian Vanderstad,"Pompton Lakes, Passaic County"
BrianTWilliamsBrick,4,Brian T Williams,"Brick, Ocean County"
BrianTOlsenTuckerton,4,Brian T Olsen,"Tuckerton, Ocean County"
MichaelJenkinsPlainfield,4,Michael Jenkins,"Plainfield, Union County"
BrianTMcLaughlinSeasideHeights,4,Brian T McLaughlin,"Seaside Heights, Ocean County"
BrianSEweWestville,4,Brian S Ewe,"Westville, Gloucester County"
BrianRWalkerLumberton,4,Brian R Walker,"Lumberton, Burlington County"
BrianPorcoGarfield,4,Brian Porco,"Garfield, Bergen County"
BrianPoeWildwood,4,Brian Poe,"Wildwood, Cape May County"
MichaelJGrecoEastWindsor,4,Michael J Greco,"East Windsor, Mercer County"
NicholasJRiesingerBranchburg,4,Nicholas J Riesinger,"Branchburg, Somerset County"
BrianPHurleyAtlanticCity,4,Brian P Hurley,"Atlantic City, Atlantic County"
BrianOliveiraLongBranch,4,Brian M Oliveira,"Long Branch, Monmouth County"
BrianMLopezCranford,4,Brian M Lopez,"Cranford, Union County"
MichaelJLichtyCamden,4,Michael J Lichty,"Camden, Camden County"
TristanJohnsWildwood,4,Tristan Johns,"Wildwood, Cape May County"
BrianPMcKennaEggHarborCity,4,Brian McKenna,"Egg Harbor City, Atlantic County"
MichaelJMarshFranklinTownship,4,Michael J Marsh,"Franklin Township, Gloucester County"
TroyDeberryOrange,4,Troy Deberry,"Orange, Essex County"
BrianTMandelkoHamilton,4,Brian Mandelko,"Hamilton, Mercer County"
TroyLMcWhorterEastWindsor,4,Troy L McWhorter,"East Windsor, Mercer County"
MichaelJMastrangeloMapleShade,4,Michael J Mastrangelo,"Maple Shade, Burlington County"
BrianLove-JoyNewark,4,Brian Love-Joy,"Newark, Essex County"
BrianLolliWildwood,4,Brian Lolli,"Wildwood, Cape May County"
TTedescoCherryHill,4,T Tedesco,"Cherry Hill, Camden County"
BrianLDicugnoCollingswood,4,Brian L Dicugno,"Collingswood, Camden County"
MichaelJMcKuhanLittleEggHarbor,4,Michael J McKuhan,"Little Egg Harbor, Ocean County"
BrianKPanaroFlorence,4,Brian K Panaro,"Florence, Burlington County"
TylerBrennesselWestLongBranch,4,Tyler Brennessel,"West Long Branch, Monmouth County"
BrianKIarrapinoSouthPlainfield,4,Brian K Iarrapino,"South Plainfield, Middlesex County"
BrianJWiselyKearny,4,Brian J Wisely,"Kearny, Hudson County"
MichaelJNicholsonGloucester,4,Michael J Nicholson,"Gloucester, Camden County"
BrianJWinklerWillingBoro,4,Brian J Winkler,"Willing Boro, Burlington County"
BrianJSnyderSouthBrunswick,4,Brian J Snyder,"South Brunswick, Middlesex County"
BrianJRosenbergEvesham,4,Brian J Rosenberg,"Evesham, Burlington County"
BrianJMcNeanyWashington,4,Brian J McNeany,"Washington, Gloucester County"
BrianJMazzarellaGloucester,4,Brian J Mazzarella,"Gloucester, Camden County"
MichaelJOpaleskiFranklin,4,Michael J Opaleski,"Franklin, Somerset County"
BrianJBesserHillsborough,4,Brian J Besser,"Hillsborough, Somerset County"
BrianGoodsonPaterson,4,Brian Goodson,"Paterson, Passaic County"
BrianGilligonPaterson,4,Brian Gilligon,"Paterson, Passaic County"
MichaelJPerrottiEdison,4,Michael J Perrotti,"Edison, Middlesex County"
BrianEPoppertBelmar,4,Brian E Poppert,"Belmar, Monmouth County"
ValerieSmithKenilworth,4,Valerie Smith,"Kenilworth, Union County"
BrianDApplebyTomsRiver,4,Brian D Appleby,"Toms River, Ocean County"
BrianCDavisHamilton,4,Brian C Davis,"Hamilton, Mercer County"
BrianCaffarelliCamden,4,Brian Caffarelli,"Camden, Camden County"
BrianBurtonWestLongBranch,4,Brian Burton,"West Long Branch, Monmouth County"
VictorArenaElizabeth,4,Victor R Arena,"Elizabeth, Union County"
BrianBrenckmanRandolph,4,Brian Brenckman,"Randolph, Morris County"
VictorMCorreiaUniontownship,4,Victor Correia,"Union township, Union County"
BrianBPtaszenskiBurlingtonCIty,4,Brian B Ptaszenski,"Burlington City, Burlington County"
MichaelJTerranovaManchester,4,Michael J Terranova,"Manchester, Ocean County"
BrianBO'LearyTomsRiver,4,Brian B O'Leary,"Toms River, Ocean County"
BrianBartlesonPemberton,4,Brian Bartleson,"Pemberton, Burlington County"
BrianBaranyayLakehurst,4,Brian Baranyay,"Lakehurst, Ocean County"
BrianBaranyayJackson,4,Brian Baranyay,"Jackson, Ocean County"
MichaelJZoleziBrick,4,Michael Zolezi,"Brick, Ocean County"
VictorDSantiagoNorthHanover,4,Victor D Santiago,"North Hanover, Burlington County"
BrianABellafronteNewBrunswick,4,Brian Bellafronte,"New Brunswick, Middlesex County"
BretWagnerWestOrange,4,Bret Wagner,"West Orange, Essex County"
VictorLMirandaTrenton,4,Victor L Miranda,"Trenton, Mercer County"
BrettMarinoPhillipsburg,4,Brett M Marino,"Phillipsburg, Warren County"
BrettMHansenTomsRiver,4,Brett Hansen,"Toms River, Ocean County"
BrettEVirnelsonGlassboro,4,Brett E Virnelson,"Glassboro, Gloucester County"
BrentRKellerWashington,4,Brent R Keller,"Washington, Gloucester County"
VictorMQueiroNorthBergen,4,Victor M Queiro,"North Bergen, Hudson County"
MichaelKisfalviPassaic,4,Michael Kisfalvi,"Passaic, Passaic County"
NicholasGordonHamilton,4,Nicholas Gordon,"Hamilton, Mercer County"
BrennaKGrantTrenton,4,Brenna K Grant,"Trenton, Mercer County"
NicholasGiordanoSeaIsleCity,4,Nicholas Giordano,"Sea Isle City, Cape May County"
MichaelKrzywdzinskiOldBridge,4,Michael A Krzywdzinski,"Old Bridge, Middlesex County"
BrendenBSantiagoMiddletown,4,Brenden B Santiago,"Middletown, Monmouth County"
BRAstburyNJSP,4,B R Astbury,"NJSP, State Police"
BrantUricksPlumstead,4,Brant Uricks,"Plumstead, Ocean County"
MichaelLaheyLittleSilver,4,Michael Lahey,"Little Silver, Monmouth County"
NicholasFabrizioWaterford,4,Nicholas Fabrizio,"Waterford, Camden County"
BrandonSiefertMountEphraim,4,Brandon Siefert,"Mount Ephraim, Camden County"
BrandonSettleCamden,4,Brandon Settle,"Camden, Camden County"
VincentLAndersonDelran,4,Vince L Anderson,"Delran, Burlington County"
BradTDoughertyTomsRiver,4,Brad Dougherty,"Toms River, Ocean County"
MichaelLewandowskiVoorhees,4,Michael Lewandowski,"Voorhees, Camden County"
BradSporerWatchung,4,Brad Sporer,"Watchung, Somerset County"
NicholasESaltzmanHowell,4,Nicholas E Saltzman,"Howell, Monmouth County"
BradleyEDowningRoselle,4,Bradley Downing,"Roselle, Union County"
VincentEBernotasBordentown,4,Vincent E Bernotas,"Bordentown, Burlington County"
VincentGreenPennsville,4,Vincent Green,"Pennsville, Salem County"
VincentJCestarePemberton,4,Vincent J Cestare,"Pemberton, Burlington County"
BLANKSchwarzNutley,4,BLANK Schwarz,"Nutley, Essex County"
VincentJessStratford,4,Vincent Jess,"Stratford, Camden County"
VincentJMontalbanoWashington,4,Vincent J Montalbano,"Washington, Bergen County"
BLANKRiosBurlingtonCIty,4,BLANK Rios,"Burlington City, Burlington County"
MichaelLStetsonWestNewYork,4,Michael L Stetson,"West New York, Hudson County"
MichaelLucianiHopatcong,4,Michael Luciani,"Hopatcong, Sussex County"
VincentJRicciardelliWayne,4,Vincent J Ricciardelli,"Wayne, Passaic County"
BLANKO'LanoGloucester,4,BLANK Olano,"Gloucester, Camden County"
VincentMattielloBayonne,4,Vincent Mattiello,"Bayonne, Hudson County"
VincentRoselliLongBranch,4,Vincent Roselli,"Long Branch, Monmouth County"
VincentSiekierskiHackensack,4,Vincent Siekierski,"Hackensack, Bergen County"
BLANKMagahanParsippany,4,BLANK Magahan,"Parsippany, Morris County"
NicholasEDiblasioWoodburyHeights,4,Nicholas E Diblasio,"Woodbury Heights, Gloucester County"
BLANKMacciaHowell,4,BLANK Maccia,"Howell, Monmouth County"
BLANKLeffertsParsippany,4,BLANK Lefferts,"Parsippany, Morris County"
VincentTGraziosaBloomingdale,4,Vincent T Graziosa,"Bloomingdale, Passaic County"
VivianColeyCamden,4,Vivian Coley,"Camden, Camden County"
VPapakostasElizabeth,4,V Papakostas,"Elizabeth, Union County"
BLANKGoraElizabeth,4,BLANK Gora,"Elizabeth, Union County"
WadeASmithHamilton,4,Wade A Smith,"Hamilton, Atlantic County"
WaldemarGarciaTrenton,4,Waldemar Garcia,"Trenton, Mercer County"
BLANKDowdParsippany,4,BLANK Dowd,"Parsippany, Morris County"
BLANKCorreiaElizabeth,4,BLANK Correia,"Elizabeth, Union County"
BLANKCooperParsippany,4,BLANK Cooper,"Parsippany, Morris County"
BLANKConradSeasideHeights,4,BLANK Conrad,"Seaside Heights, Ocean County"
BLANKCamarinhaElizabeth,4,BLANK Camarinha,"Elizabeth, Union County"
BLANKBLANKParsippany,4,BLANK BLANK,"Parsippany, Morris County"
BLANKBLANKLongBranch,4,BLANK BLANK,"Long Branch, Monmouth County"
WalterRiveraTrenton,4,Walter Rivera,"Trenton, Mercer County"
WalterSilcoxWestWindsor,4,Walter Silcox,"West Windsor, Mercer County"
WalterStinnerUniontownship,4,Walter Stinner,"Union township, Union County"
WarrenGriffithNewark,4,Warren Griffith,"Newark, Essex County"
MichaelMoraBloomfield,4,Michael Mora,"Bloomfield, Essex County"
BJHawkswellNJSP,4,B J Hawkswell,"NJSP, State Police"
NicholasDeTrizioHoboken,4,Nicholas DeTrizio,"Hoboken, Hudson County"
WayneAdamsEastOrange,4,Wayne Adams,"East Orange, Essex County"
BernardoSegarraCamden,4,Bernardo Segarra,"Camden, Camden County"
WayneDianaSouthPlainfield,4,Wayne Diana,"South Plainfield, Middlesex County"
WayneHHaughRobbinsville,4,Wayne H Haugh,"Robbinsville, Mercer County"
BenjaminSingerPomptonLakes,4,Benjamin Singer,"Pompton Lakes, Passaic County"
WaynePughNewark,4,Wayne Pugh,"Newark, Essex County"
BenjaminMWuelfingKearny,4,Benjamin M Wuelfing,"Kearny, Hudson County"
BenjaminMarcecaGarfield,4,Benjamin Marceca,"Garfield, Bergen County"
MichaelNolanMiddletown,4,Michael Nolan,"Middletown, Monmouth County"
MichaelO'NeilCranford,4,Michael O'Neil,"Cranford, Union County"
MichaelOlbrysLinden,4,Michael Olbrys,"Linden, Union County"
BasilDicerboCamden,4,Basil Dicerbo,"Camden, Camden County"
BartlomiejSzulczynskiAberdeen,4,Bartlomiej Szulczynski,"Aberdeen, Monmouth County"
BarryECohenUniontownship,4,Barry E Cohen,"Union township, Union County"
MichaelPalatellaEdison,4,Michael Palatella,"Edison, Middlesex County"
MichaelPalinczarTrenton,4,Michael Palinczar,"Trenton, Mercer County"
BaronMcCoyVineland,4,Baron McCoy,"Vineland, Cumberland County"
AziahaPalmerEastOrange,4,Aziaha Palmer,"East Orange, Essex County"
AVarvarNJSP,4,A Varvar,"NJSP, State Police"
AValenciaElizabeth,4,A Valencia,"Elizabeth, Union County"
WilfredoABrownEdison,4,Wilfredo Brown,"Edison, Middlesex County"
WilfredoDelgadoTrenton,4,Wilfredo Delgado,"Trenton, Mercer County"
AustinMPayneAsburyPark,4,Austin M Payne,"Asbury Park, Monmouth County"
AtibaAmorosoEastOrange,4,Atiba Amoroso,"East Orange, Essex County"
WilliamBeckRoxbury,4,William Beck,"Roxbury, Morris County"
WilliamBoriNorthWildwood,4,William Bori,"North Wildwood, Cape May County"
MichaelPCistaroLinden,4,Michael P Cistaro,"Linden, Union County"
ArielSandovalPaterson,4,Ariel Sandoval,"Paterson, Passaic County"
MichaelPContiWashington,4,Michael P Conti,"Washington, Gloucester County"
NicholasBCzepielFlorence,4,Nicholas B Czepiel,"Florence, Burlington County"
MichaelPellegrinoCaldwell,4,Michael Pellegrino,"Caldwell, Essex County"
WilliamBurrisVineland,4,William Burris,"Vineland, Cumberland County"
WilliamByrnesRoselle,4,William Byrnes,"Roselle, Union County"
WilliamCHertlinePennsauken,4,William C Hertline,"Pennsauken, Camden County"
AprilLatonaHaledon,4,April Latona,"Haledon, Passaic County"
APepeSeasidePark,4,A Pepe,"Seaside Park, Ocean County"
WilliamVCoadMontclair,4,William Coad,"Montclair, Essex County"
AntonioRamosVineland,4,Antonio Ramos,"Vineland, Cumberland County"
AntonioBLacostaLinden,4,Antonio B Lacosta,"Linden, Union County"
AntoineTBrownHillside,4,Antoine T Brown,"Hillside, Union County"
AnthonyVChapmanMontclair,4,Anthony V Chapman,"Montclair, Essex County"
AnthonyTrappaneseBurlingtonTown,4,Anthony Trappanese,"Burlington Town, Burlington County"
AnthonyTirelliStoneHarborBorough,4,Anthony Tirelli,"Stone Harbor Borough, Cape May County"
AnthonySTrohalidesMonroe,4,Anthony S Trohalides,"Monroe, Middlesex County"
MichaelPontilloWestwood,4,Michael Pontillo,"Westwood, Bergen County"
NicholasASparacoHopewelltwp,4,Nicholas A Sparaco,"Hopewell twp, Mercer County"
AnthonySterlacciWoodbridge,4,Anthony Sterlacci,"Woodbridge, Middlesex County"
WilliamDGallagherWaterford,4,William D Gallagher,"Waterford, Camden County"
AnthonyRVenutoEggHarborTownship,4,Anthony R Venuto,"Egg Harbor Township, Atlantic County"
AnthonyRiveraGlenRidge,4,Anthony Rivera,"Glen Ridge, Essex County"
AnthonyPacilloSouthPlainfield,4,Anthony N Pacillo,"South Plainfield, Middlesex County"
AnthonyMScintoDover,4,Anthony M Scinto,"Dover, Morris County"
MichaelPTierBerkeley,4,Michael P Tier,"Berkeley, Ocean County"
AnthonyScalcioneJerseyCity,4,Anthony M Scalcione,"Jersey City, Hudson County"
MichaelQuinanePaterson,4,Michael Quinane,"Paterson, Passaic County"
AnthonyMottolaOldBridge,4,Anthony Mottola,"Old Bridge, Middlesex County"
AnthonyMcNelisWildwood,4,Anthony McNelis,"Wildwood, Cape May County"
NicholasAdamoCaldwell,4,Nicholas Adamo,"Caldwell, Essex County"
MichaelRamirezNewark,4,Michael Ramirez,"Newark, Essex County"
AnthonyMaroneAberdeen,4,Anthony Marone,"Aberdeen, Monmouth County"
WilliamECusickHolmdel,4,William E Cusick,"Holmdel, Monmouth County"
AnthonyLiggioParamus,4,Anthony Liggio,"Paramus, Bergen County"
AnthonyLagoaUniontownship,4,Anthony Lagoa,"Union township, Union County"
WilliamFGaskillHopewelltwp,4,William F Gaskill,"Hopewell twp, Mercer County"
WilliamGFinnSomerville,4,William Finn,"Somerville, Somerset County"
NicholasAbruscatoLyndhurst,4,Nicholas Abruscato,"Lyndhurst, Bergen County"
AnthonyJGrandinettiGloucester,4,Anthony J Grandinetti,"Gloucester, Camden County"
AnthonyIannaconeHackensack,4,Anthony Iannacone,"Hackensack, Bergen County"
WilliamGalloFreehold,4,William Gallo,"Freehold, Monmouth County"
WilliamGalopMountOlive,4,William Galop,"Mount Olive, Morris County"
AnthonyGirgentiGibbsboro,4,Anthony Girgenti,"Gibbsboro, Camden County"
AnthonyRGardnerMountOlive,4,Anthony Gardner,"Mount Olive, Morris County"
WilliamGParentiNorthPlainfield,4,William G Parenti,"North Plainfield, Somerset County"
MichaelRuglioVerona,4,Michael Ruglio,"Verona, Essex County"
WilliamGPetroveyWoodbridge,4,William G Petrovey,"Woodbridge, Middlesex County"
AnthonyFalconeNorthBrunswick,4,Anthony Falcone,"North Brunswick, Middlesex County"
MichaelRuzzoAtlanticCity,4,Michael Ruzzo,"Atlantic City, Atlantic County"
WilliamGSchneiderWoodbridge,4,William G Schneider,"Woodbridge, Middlesex County"
MichaelSappEastWindsor,4,Michael Sapp,"East Windsor, Mercer County"
AnthonyEMatusewiczLinden,4,Anthony E Matusewicz,"Linden, Union County"
MichaelSchillingFanwood,4,Michael Schilling,"Fanwood, Union County"
WilliamHamiltonWharton,4,William Hamilton,"Wharton, Morris County"
MichaelSFinnertyEggHarborTownship,4,Michael S Finnerty,"Egg Harbor Township, Atlantic County"
AnthonyDCardoneFlorence,4,Anthony D Cardone,"Florence, Burlington County"
AnthonyCosentinoBoontonTownship,4,Anthony Cosentino,"Boonton Township, Morris County"
AnthonyCarusoHoboken,4,Anthony Caruso,"Hoboken, Hudson County"
AnthonyAbodeNewBrunswick,4,Anthony Abode,"New Brunswick, Middlesex County"
AnthonyAbateBelleville,4,Anthony Abate,"Belleville, Essex County"
MichaelSimoneSecaucus,4,Michael A Simone,"Secaucus, Hudson County"
AnthonyBozzettiFortLee,4,Anrhony Bozzetti,"Fort Lee, Bergen County"
AnnMMcGlynnAtlanticCity,4,Ann M McGlynn,"Atlantic City, Atlantic County"
MichaelSMcKerryJerseyCity,4,Michael S McKerry,"Jersey City, Hudson County"
AnneeshaFordIrvington,4,Anneesha Ford,"Irvington, Essex County"
WilliamJBittnerDeptford,4,William J Bittner,"Deptford, Gloucester County"
AngelParedNewark,4,Angel Pared,"Newark, Essex County"
AngelVPaganTeaneck,4,Angel Pagan,"Teaneck, Bergen County"
AngeloLiloiaBelleville,4,Angelo Liloia,"Belleville, Essex County"
WilliamJLanceneseBurlingtonCIty,4,William J Lancenese,"Burlington City, Burlington County"
AngelloSolerJerseyCity,4,Angello Soler,"Jersey City, Hudson County"
MichaelSShafmanAtlanticCity,4,Michael S Shafman,"Atlantic City, Atlantic County"
AngelGonzalezPaterson,4,Angel Gonzalez,"Paterson, Passaic County"
AngelCastrillonPassaic,4,Angel Castrillon,"Passaic, Passaic County"
WilliamJMoyleSparta,4,William J Moyle,"Sparta, Sussex County"
WilliamJNideBayonne,4,William J Nide,"Bayonne, Hudson County"
MichaelSzemcsakLowerTownship,4,Michael Szemcsak,"Lower Township, Cape May County"
AndrewSDunnetCamden,4,Andrew S Dunnet,"Camden, Camden County"
WilliamJSheehanWoodbury,4,William J Sheehan,"Woodbury, Gloucester County"
AndrewMSpottsMountOlive,4,Andrew M Spotts,"Mount Olive, Morris County"
AndrewLeonardAtlanticCity,4,Andrew Leonard,"Atlantic City, Atlantic County"
AndrewJKeleshianLoganTownship,4,Andrew J Keleshian,"Logan Township, Gloucester County"
NatishaMcIverMorrisTownship,4,Natisha McIver,"Morris Township, Morris County"
NathanReyesLakewood,4,Nathan Reyes,"Lakewood, Ocean County"
WilliamLBordenEvesham,4,William L Borden,"Evesham, Burlington County"
AndrewDuffyRiverdale,4,Andrew Duffy,"Riverdale, Morris County"
