officerid,sId,count,dept,name
RichardAnnaconePineHill,386,5,"Pine Hill, Camden County",Richard Annacone
RobertCVoorheesHopewelltwp,387,5,"Hopewell twp, Mercer County",Robert Voorhees
KevinCZornHopewelltwp,388,5,"Hopewell twp, Mercer County",Kevin Zorn
RichardOrnelasWharton,389,5,"Wharton, Morris County",Richard Ornelas
KeithMeissnerBeachwood,390,5,"Beachwood, Ocean County",Keith Meissner
JordanWRogersNorthPlainfield,391,5,"North Plainfield, Somerset County",Jordan Rogers
FaizanUHaqMontclair,392,5,"Montclair, Essex County",Faizan Haq
JosephDRadlinskyLawrence,393,5,"Lawrence, Mercer County",Joseph Radlinsky
LeahGlercykAtlanticCity,394,5,"Atlantic City, Atlantic County",Leah Giercyk
JosephRussoUnionBeach,395,5,"Union Beach, Monmouth County",Joseph Russo
NicholasJSchmidtWashington,396,5,"Washington, Gloucester County",Nicholas Schmidt
KyleACranmerBarnegat,397,5,"Barnegat, Ocean County",Kyle Cranmer
JohnMFosbreBerkeley,398,5,"Berkeley, Ocean County",John Fosbre
DustinRPaulssonAtlanticCity,399,5,"Atlantic City, Atlantic County",Dustin Paulsson
BasilDicerboAtlanticCity,400,5,"Atlantic City, Atlantic County",Basil Dicerbo
RichardJaegerHazlet,401,5,"Hazlet, Monmouth County",Richard Jaeger
GabrielAChevereAtlanticCity,402,5,"Atlantic City, Atlantic County",Gabriel Chevere
PeterJRomanskiFreeholdBoro,403,5,"Freehold Boro, Monmouth County",Peter Romanski
LeoColomboBoonton,404,5,"Boonton, Morris County",Leo Colombo
TimothySNelsonWoodbury,405,5,"Woodbury, Gloucester County",Timothy Nelson
ChristopherMTroughtonDeptford,406,5,"Deptford, Gloucester County",Christopher Troughton
JamesVardanegaLawrence,407,5,"Lawrence, Mercer County",James Vardanega
JosephMorganDenville,408,5,"Denville, Morris County",Joseph Morgan
BaoHoIrvington,409,5,"Irvington, Essex County",Bao Ho
RobertDodsonAtlanticCity,410,5,"Atlantic City, Atlantic County",Robert Dodson
RonLMallardOrange,411,5,"Orange, Essex County",Ron Mallard
AutumnMasonAtlanticCity,412,5,"Atlantic City, Atlantic County",Autumn Mason
LeonardoNunesElizabeth,413,5,"Elizabeth, Union County",Leonardo Nunes
MichaelTristaoHazlet,414,5,"Hazlet, Monmouth County",Michael Tristao
DouglasJReynoldsLindenwold,415,5,"Lindenwold, Camden County",Douglas Reynolds
MichaelPCassidyWestOrange,416,5,"West Orange, Essex County",Michael Cassidy
JohnRWaddellAtlanticCity,417,5,"Atlantic City, Atlantic County",John Waddell
RobertEWagnerLawrence,418,5,"Lawrence, Mercer County",Robert Wagner
SWBrelandNJSP,419,5,"NJSP, State Police",S Breland
ShaneCLeightonTomsRiver,420,5,"Toms River, Ocean County",Shane Leighton
RobertEThompsonAtlanticCity,421,5,"Atlantic City, Atlantic County",Robert Thompson
BrianPHurleyAtlanticCity,422,5,"Atlantic City, Atlantic County",Brian Hurley
KevinTGeoghanHazlet,423,5,"Hazlet, Monmouth County",Kevin Geoghan
ThomasInfusinoBelleville,424,5,"Belleville, Essex County",Thomas Infusino
AdamErricoLindenwold,425,5,"Lindenwold, Camden County",Adam Errico
ByronMHargisAtlanticCity,426,5,"Atlantic City, Atlantic County",Byron Hargis
RobertLPerezJerseyCity,427,5,"Jersey City, Hudson County",Robert Perez
DaryleKellyChathamboro,428,5,"Chatham boro, Morris County",Daryle Kelly
MRFalcianiNJSP,429,5,"NJSP, State Police",M Falciani
ScottWSteinLawrence,430,5,"Lawrence, Mercer County",Scott Stein
RichardJMeinsenSouthBoundbrook,431,5,"South Boundbrook, Somerset County",Richard Meinsen
VincentAPelinoSouthBoundbrook,432,5,"South Boundbrook, Somerset County",Vincent Pelino
JasonASmithGloucester,433,5,"Gloucester, Camden County",Jason Smith
MichaelBTanisBerkeley,434,5,"Berkeley, Ocean County",Michael Tanis
JustinRMastalskiLindenwold,435,5,"Lindenwold, Camden County",Justin Mastalski
DiorysLTurbidesClifton,436,5,"Clifton, Passaic County",Diorys Turbides
JeffreyMTitusSouthBoundbrook,437,5,"South Boundbrook, Somerset County",Jeffrey Titus
ErnestJBasileGloucester,438,5,"Gloucester, Camden County",Ernest Basile
StacyHerreriasAtlanticCity,439,5,"Atlantic City, Atlantic County",Stacy Herrerias
AnthonyMHolleyJerseyCity,440,5,"Jersey City, Hudson County",Anthony Holley
VaughnCEdwardsCamden,441,5,"Camden, Camden County",Vaughn Edwards
AdrianValentinoWoodbridge,442,5,"Woodbridge, Middlesex County",Adrian Valentino
RobertJRahnerTomsRiver,443,5,"Toms River, Ocean County",Robert Rahner
JesusCOteroLongBranch,444,5,"Long Branch, Monmouth County",Jesus Otero
RyanMParenteTomsRiver,445,5,"Toms River, Ocean County",Ryan Parente
GregoryIngrumAtlanticCity,446,5,"Atlantic City, Atlantic County",Gregory Ingrum
CraigHumblePrinceton,447,5,"Princeton, Mercer County",Craig Humble
FelixRiveraMillville,448,5,"Millville, Cumberland County",Felix Rivera
AdrianVerdunMaplewood,449,5,"Maplewood, Essex County",Adrian Verdun
MarcHForgesWestOrange,450,5,"West Orange, Essex County",Marc Forges
MichaelGFarrellRobbinsville,451,5,"Robbinsville, Mercer County",Michael Farrell
JasonLopezKeansburg,452,5,"Keansburg, Monmouth County",Jason Lopez
RichardHalvorsonAtlanticCity,453,5,"Atlantic City, Atlantic County",Richard Halvorson
KevinFairAtlanticCity,454,5,"Atlantic City, Atlantic County",Kevin Fair
EHafekenPlainfield,455,5,"Plainfield, Union County",E Hafeken
CharlesFMillerAtlanticCity,456,5,"Atlantic City, Atlantic County",Charles Miller
RichardLLascoAtlanticCity,457,5,"Atlantic City, Atlantic County",Richard Lasco
JPStorieNJSP,458,5,"NJSP, State Police",J Storie
BrianRueggerFreeholdBoro,459,5,"Freehold Boro, Monmouth County",Brian Ruegger
BryanLewisNorthPlainfield,460,5,"North Plainfield, Somerset County",Bryan Lewis
PaulAristizabalAtlanticCity,461,5,"Atlantic City, Atlantic County",Paul Aristizabal
MichelleGrahamAtlanticCity,462,5,"Atlantic City, Atlantic County",Michelle Graham
PeterJGalazkaRobbinsville,463,5,"Robbinsville, Mercer County",Peter Galazka
RichardReynoldsMillville,464,5,"Millville, Cumberland County",Richard Reynolds
RoderickDGainesAtlanticCity,465,5,"Atlantic City, Atlantic County",Roderick Gaines
MarcusVSteinhauserNorthPlainfield,466,5,"North Plainfield, Somerset County",Marcus Steinhauser
JackVVerseputAtlanticCity,467,5,"Atlantic City, Atlantic County",Jack Verseput
MikeJean-BaptisteNorthPlainfield,468,5,"North Plainfield, Somerset County",Mike Jean-Baptiste
JosephLBastardoHillsborough,469,5,"Hillsborough, Somerset County",Joseph Bastardo
KevinLicknackEatontown,470,5,"Eatontown, Monmouth County",Kevin Licknack
GaryTwerdakBelleville,471,5,"Belleville, Essex County",Gary Twerdak
CTropianoNJSP,472,5,"NJSP, State Police",C Tropiano
LarryTLurkerWoodbridge,473,5,"Woodbridge, Middlesex County",Larry Lurker
BryanABlairAtlanticCity,474,5,"Atlantic City, Atlantic County",Bryan Blair
BrettSPfeifferEastGreenwich,475,5,"East Greenwich, Gloucester County",Brett Pfeiffer
RolandoPolioPaterson,476,5,"Paterson, Passaic County",Rolando Polio
JosephDLynchBayonne,477,5,"Bayonne, Hudson County",Joseph Lynch
GregoryHooperParamus,478,5,"Paramus, Bergen County",Gregory Hooper
JuanLisojoBelleville,479,5,"Belleville, Essex County",Juan Lisojo
ShaneFranzCamden,480,5,"Camden, Camden County",Shane Franz
ThomasKaminskyCarteret,481,5,"Carteret, Middlesex County",Thomas Kaminsky
MichaelPollaroParamus,482,5,"Paramus, Bergen County",Michael Pollaro
RyanPFitzgeraldTomsRiver,483,5,"Toms River, Ocean County",Ryan Fitzgerald
BrianLindenParamus,484,5,"Paramus, Bergen County",Brian Linden
TimBoykoffNorthPlainfield,485,5,"North Plainfield, Somerset County",Tim Boykoff
GrahamKoshnickBelleville,486,5,"Belleville, Essex County",Graham Koshnick
QuaasimAustin-TurnerIrvington,487,5,"Irvington, Essex County",Quaasim Austin-Turner
RichardRRoemmeleSeasideHeights,488,5,"Seaside Heights, Ocean County",Richard Roemmele
FlorenceAckermanPaterson,489,5,"Paterson, Passaic County",Florence Ackerman
ToddWiditzManville,490,5,"Manville, Somerset County",Todd Widitz
ArielSandovalPaterson,491,5,"Paterson, Passaic County",Ariel Sandoval
WilliamParentiNorthPlainfield,492,5,"North Plainfield, Somerset County",William Parenti
ShaunKetchamCarteret,493,5,"Carteret, Middlesex County",Shaun Ketcham
TaylorDButlerBerkeley,494,5,"Berkeley, Ocean County",Taylor Butler
PatrickJSelleroliRingwood,495,5,"Ringwood, Passaic County",Patrick Selleroli
MichaelSiscoPaterson,496,5,"Paterson, Passaic County",Michael Sisco
KeithCassensCarteret,497,5,"Carteret, Middlesex County",Keith Cassens
WayneStineClifton,498,5,"Clifton, Passaic County",Wayne Stine
WilliamRPestalozziTomsRiver,499,5,"Toms River, Ocean County",William Pestalozzi
JerryAquinoBelleville,500,5,"Belleville, Essex County",Jerry Aquino
JustinStippickCamden,501,5,"Camden, Camden County",Justin Stippick
KennethMDragoBayonne,502,5,"Bayonne, Hudson County",Kenneth Drago
SeanPHefferonRoxbury,503,5,"Roxbury, Morris County",Sean Hefferon
JavierDiazCarteret,504,5,"Carteret, Middlesex County",Javier Diaz
AnthonyScalaNorthArlington,505,5,"North Arlington, Bergen County",Anthony Scala
VincentMattielloBayonne,506,5,"Bayonne, Hudson County",Vincent Mattiello
MatthewGommCarteret,507,5,"Carteret, Middlesex County",Matthew Gomm
ChristopherRedmondNorthArlington,508,5,"North Arlington, Bergen County",Christopher Redmond
RyanJKarabinWoodbridge,509,5,"Woodbridge, Middlesex County",Ryan Karabin
JeffreyHuntingtonPaterson,510,5,"Paterson, Passaic County",Jeffrey Huntington
WilliamJPhayreMaywood,511,5,"Maywood, Bergen County",William Phayre
JosephHLambKeansburg,512,5,"Keansburg, Monmouth County",Joseph Lamb
GiuseppeRinzivilloNorthArlington,513,5,"North Arlington, Bergen County",Giuseppe Rinzivillo
AgostinoFeolaNorthArlington,514,5,"North Arlington, Bergen County",Agostino Feola
JoshaniAlmonte-DiazCamden,515,5,"Camden, Camden County",Joshani Almonte-Diaz
JoshuaJWagnerLongBranch,516,5,"Long Branch, Monmouth County",Joshua Wagner
TimothyServisCherryHill,517,5,"Cherry Hill, Camden County",Tim Servis
TimothyMCalabreseBayonne,518,5,"Bayonne, Hudson County",Timothy Calabrese
DavidSmentkowskiBayonne,519,5,"Bayonne, Hudson County",David Smentkowski
JohnTLangeMahwah,520,5,"Mahwah, Bergen County",John Lange
FranchinoPignataroBelleville,521,5,"Belleville, Essex County",Franchino Pignataro
BLANKJoaquimElizabeth,522,5,"Elizabeth, Union County",Blank Joaquim
DanielLBloomquistSeasideHeights,523,5,"Seaside Heights, Ocean County",Daniel Bloomquist
MatthewUnkelEastBrunswick,524,5,"East Brunswick, Middlesex County",Matthew Unkel
JoseAMartinezWoodbridge,525,5,"Woodbridge, Middlesex County",Jose Martinez
MichaelCarrinoLyndhurst,526,5,"Lyndhurst, Bergen County",Michael Carrino
AnthonyPMarcianoRoxbury,527,5,"Roxbury, Morris County",Anthony Marciano
GabeMegaleBayonne,528,5,"Bayonne, Hudson County",Gabriel Megale
JulieJanisheskiClifton,529,5,"Clifton, Passaic County",Julie Janisheski
VincentKaulinisCherryHill,530,5,"Cherry Hill, Camden County",Vincent Kaulinis
AnthonyRiciglianoLyndhurst,531,5,"Lyndhurst, Bergen County",Anthony Ricigliano
GlennTabaskoEastBrunswick,532,5,"East Brunswick, Middlesex County",Glenn Tabasko
PatrickHealeyFreeholdBoro,533,5,"Freehold Boro, Monmouth County",Patrick Healey
KevinWernerFreeholdBoro,534,5,"Freehold Boro, Monmouth County",Kevin Werner
JosephBudaManville,535,5,"Manville, Somerset County",Joseph Buda
RichardRiccoRoxbury,536,5,"Roxbury, Morris County",Richard Ricco
AdamDelguercioRoxbury,537,5,"Roxbury, Morris County",Adam Delguercio
RodneyTilleryEastBrunswick,538,5,"East Brunswick, Middlesex County",Rodney Tillery
AgnieszkaGarncarzEastBrunswick,539,5,"East Brunswick, Middlesex County",Agnieszka Garncarz
RobertFernandezLyndhurst,540,5,"Lyndhurst, Bergen County",Robert Fernandez
ChristopherWernigCherryHill,541,5,"Cherry Hill, Camden County",Christopher Wernig
ChristopherDColanerFreeholdBoro,542,5,"Freehold Boro, Monmouth County",C.D Colaner
KennethAmbrosiaCamden,543,5,"Camden, Camden County",Kenneth Ambrosia
RobertWrightEastOrange,544,5,"East Orange, Essex County",Robert Wright
StephenCGrabowskiSeasideHeights,545,5,"Seaside Heights, Ocean County",Stephen Grabowski
JamesVDanielDunellen,546,5,"Dunellen, Middlesex County",James Daniel
JasonGuideLakehurst,547,5,"Lakehurst, Ocean County",Jason Guide
RobertResslandBloomingdale,548,5,"Bloomingdale, Passaic County",Robert Ressland
JosephGMarshGarfield,549,5,"Garfield, Bergen County",Joseph Marsh
ChristopherBeendersDunellen,550,5,"Dunellen, Middlesex County",Christopher Beenders
JonathanMDeAngeloDunellen,551,5,"Dunellen, Middlesex County",Jonathan DeAngelo
ThomasCassidyEastBrunswick,552,5,"East Brunswick, Middlesex County",Thomas Cassidy
LatiaTaylorPaterson,553,5,"Paterson, Passaic County",Taylor Illegible
JoeYolerGarfield,554,5,"Garfield, Bergen County",Joe Yoler
GregWilsonFranklin,555,5,"Franklin, Somerset County",Greg Wilson
MichaelOstermuellerCherryHill,556,5,"Cherry Hill, Camden County",Michael Ostermueller
MichaelJFoleyClayton,557,5,"Clayton, Gloucester County",Michael Foley
MelissaMoralesBayonne,558,5,"Bayonne, Hudson County",Melissa Morales
JosephDepasqualeLakehurst,559,5,"Lakehurst, Ocean County",Joseph Depasquale
SheldonBryantCherryHill,560,5,"Cherry Hill, Camden County",Sheldon Bryant
ThomasWeberCherryHill,561,5,"Cherry Hill, Camden County",Thomas Weber
DavidConiglioGarfield,562,5,"Garfield, Bergen County",David Coniglio
JohnASorannoKeansburg,563,5,"Keansburg, Monmouth County",John Soranno
BrianVenturaEastBrunswick,564,5,"East Brunswick, Middlesex County",Brian Ventura
MatthewBelcastroChathamboro,565,5,"Chatham boro, Morris County",Matthew Belcastro
MichaelBoccoGarfield,566,5,"Garfield, Bergen County",Michael Bocco
DerekNaylorCamden,567,5,"Camden, Camden County",Derek Naylor
DavidMOrlerTuckerton,568,5,"Tuckerton, Ocean County",David Orler
TravisGHobanSeasideHeights,569,5,"Seaside Heights, Ocean County",Travis Hoban
GilbertMartinezFranklin,570,5,"Franklin, Somerset County",Gilbert Martinez
AnneMCasaleBridgewater,571,5,"Bridgewater, Somerset County",Anne Casale
JosephAPichnarcikClifton,572,5,"Clifton, Passaic County",Joseph Pichnarcik
SteveWilsonTrenton,573,5,"Trenton, Mercer County",Steve Wilson
JavierVegaCamden,574,5,"Camden, Camden County",Javier Vega
CharlesRestivoBayonne,575,5,"Bayonne, Hudson County",Charles Restivo
SeanPWardLakewood,576,5,"Lakewood, Ocean County",Sean Ward
ColbyMBryszewskiOaklyn,577,5,"Oaklyn, Camden County",Colby Bryszewski
CarloCavalliTrenton,578,5,"Trenton, Mercer County",Carlo Cavalli
FrankieGarrettHackensack,579,5,"Hackensack, Bergen County",Frankie Garrett
MariaChellTrenton,580,5,"Trenton, Mercer County",Maria Chell
JaymarieTorresCamden,581,5,"Camden, Camden County",Jaymarie Torres
JosephEllerGloucesterCity,582,5,"Gloucester City, Camden County",Joseph Eller
StevenPKelusakLakewood,583,5,"Lakewood, Ocean County",Steven Kelusak
KennethHenryBelleville,584,5,"Belleville, Essex County",Kenneth Henry
SteveAllaireLakewood,585,5,"Lakewood, Ocean County",Steve Allaire
RichardGJohnsonKeansburg,586,5,"Keansburg, Monmouth County",Richard Johnson
RichardCorderoLodi,587,5,"Lodi, Bergen County",Richard Cordero
JosephDomicoliBelleville,588,5,"Belleville, Essex County",Joseph Domicoli
RoccoDuardoHackensack,589,5,"Hackensack, Bergen County",Rocco Duardo
StevenMRhodesBayonne,590,5,"Bayonne, Hudson County",Steven Rhodes
MichaelGFatzerBloomingdale,591,5,"Bloomingdale, Passaic County",Michael Fatzer
RobertABelluscioMetuchen,592,5,"Metuchen, Middlesex County",Robert Belluscio
PeterMoranoBelleville,593,5,"Belleville, Essex County",Peter Morano
DanielJPleskonkoCamden,594,5,"Camden, Camden County",Daniel Pleskonko
LesterWilsonIrvington,595,5,"Irvington, Essex County",Lester Wilson
JohnGugliuzzaEatontown,596,5,"Eatontown, Monmouth County",John Gugliuzza
MatthewSchmidtCherryHill,597,5,"Cherry Hill, Camden County",Matthew Schmidt
StephenANickensLakewood,598,5,"Lakewood, Ocean County",Stephen Nickens
WilliamMoyanoHackensack,599,5,"Hackensack, Bergen County",William Moyano
CraigJonesCherryHill,600,5,"Cherry Hill, Camden County",Craig Jones
RichardStanickLakewood,601,5,"Lakewood, Ocean County",Richard Stanick
DariusCoatesIrvington,602,5,"Irvington, Essex County",Darius Coates
EmekaChijiokeMetuchen,603,5,"Metuchen, Middlesex County",Emeka Chijioke
SharieffKGreenwoodEastOrange,604,5,"East Orange, Essex County",Sharieff Greenwood
FlorianWoutersHackensack,605,5,"Hackensack, Bergen County",Florian Wouters
GregoryMitchellIrvington,606,5,"Irvington, Essex County",Gregory Mitchell
KevinSPeirselBloomingdale,607,5,"Bloomingdale, Passaic County",Kevin Peirsel
NicholasRellaMaplewood,608,5,"Maplewood, Essex County",Nicholas Rella
DavidATerpstraBloomingdale,609,5,"Bloomingdale, Passaic County",David Terpstra
MartinHeathCherryHill,610,5,"Cherry Hill, Camden County",Martin Heath
JosephBKeaneMetuchen,611,5,"Metuchen, Middlesex County",Joseph Keane
MarkWRidgeGloucesterCity,612,5,"Gloucester City, Camden County",Mark Ridge
ZacharyJosephFortLee,613,5,"Fort Lee, Bergen County",Zachary Joseph
AndresKimFortLee,614,5,"Fort Lee, Bergen County",Andres Kim
MichaelJMarzoccaLakewood,615,5,"Lakewood, Ocean County",Michael Marzocca
ReneLobanovCherryHill,616,5,"Cherry Hill, Camden County",Rene Lobanov
SteveNoFortLee,617,5,"Fort Lee, Bergen County",Steve No
LorraineBeecherIrvington,618,5,"Irvington, Essex County",Lorraine Beecher
AbelTavaresJerseyCity,619,5,"Jersey City, Hudson County",Abel Tavares
ChristopherRichterFortLee,620,5,"Fort Lee, Bergen County",Christopher Richter
CathiriaSantiagoTrenton,621,5,"Trenton, Mercer County",Cathiria Santiago
BrianKoppenalProspectPark,622,5,"Prospect Park, Passaic County",Brian Koppenal
MohammadADroubiClifton,623,5,"Clifton, Passaic County",Mohammad Droubi
RaphaelAThorntonCamden,624,5,"Camden, Camden County",Raphael Thornton
DavidOrtizJerseyCity,625,5,"Jersey City, Hudson County",David Ortiz
MelvaJMossCamden,626,5,"Camden, Camden County",Melva Moss
DannyJReyesClifton,627,5,"Clifton, Passaic County",Danny Reyes
JasonYahrLakewood,628,5,"Lakewood, Ocean County",Jason Yahr
GeorgeGuadalupeBloomfield,629,5,"Bloomfield, Essex County",George Guadalupe
WillClementsCamden,630,5,"Camden, Camden County",Will Clements
HectorMGonzalezTrenton,631,5,"Trenton, Mercer County",Hector Gonzalez
HowardGinsburgFortLee,632,5,"Fort Lee, Bergen County",Howard Ginsburg
KeithHogleCamden,633,5,"Camden, Camden County",Keith Hogle
NicholasSnyderFairlawn,634,5,"Fairlawn, Bergen County",Nicholas Snyder
JohnPArndtBayonne,635,5,"Bayonne, Hudson County",John Arndt
RonaldAltmannPaterson,636,5,"Paterson, Passaic County",Ronald Altmann
JamesSBeirneMiddletown,637,5,"Middletown, Monmouth County",James Beirne
BryanJKingKeansburg,638,5,"Keansburg, Monmouth County",Bryan King
MarkWIceTrenton,639,5,"Trenton, Mercer County",Mark Ice
TimothySullivanBayonne,640,5,"Bayonne, Hudson County",Timothy Sullivan
MichaelSTraboshGloucester,641,5,"Gloucester, Camden County",Michael Trabosh
RobertMacFarlaneCamden,642,5,"Camden, Camden County",Robert MacFarlane
MichaelRAndersonLakewood,643,5,"Lakewood, Ocean County",Michael Anderson
KevinRDonnellyLakewood,644,5,"Lakewood, Ocean County",Kevin Donnelly
JosephOlivoHasbrouckHeights,645,5,"Hasbrouck Heights, Bergen County",Joseph Olivo
MarcMiskovitzFortLee,646,5,"Fort Lee, Bergen County",Marc Miskovitz
CesarHeyaimePaterson,647,5,"Paterson, Passaic County",Cesar Heyaime
SummerLCunliffeLakewood,648,5,"Lakewood, Ocean County",Summer Cunliffe
JeffreyBordleyBridgetonCity,649,5,"Bridgeton City, Cumberland County",Jeffrey Bordley
MichaelJOpaleskiFranklin,650,5,"Franklin, Somerset County",Michael Opaleski
CraigHowlettRoselle,651,5,"Roselle, Union County",Craig Howlett
MichaelMcGowanLongBranch,652,5,"Long Branch, Monmouth County",Michael McGowan
JasonEKleinSouthRiver,653,5,"South River, Middlesex County",Jason Klein
JeffreyEKochanskiJerseyCity,654,5,"Jersey City, Hudson County",Jeffrey Kochanski
SevanKasparyanFairview,655,5,"Fairview, Bergen County",Sevan Kasparyan
ShaunJButlerMantua,656,5,"Mantua, Gloucester County",Shaun Butler
CoryHortonFortLee,657,5,"Fort Lee, Bergen County",Cory Horton
Al-JeromeBurnett-CrawfordIrvington,658,5,"Irvington, Essex County",Al-Jerome Burnett-Crawford
JosephDawickiFairlawn,659,5,"Fairlawn, Bergen County",Joseph Dawicki
ScottBrelandCamden,660,5,"Camden, Camden County",Scott Breland
MichaelQuinanePaterson,661,5,"Paterson, Passaic County",Michael Quinones
WalterRichmondProspectPark,662,5,"Prospect Park, Passaic County",Walter Richmond
FrancoGraziadioClifton,663,5,"Clifton, Passaic County",Franco Graziadio
PedroLPerezTrenton,664,5,"Trenton, Mercer County",Pedro Perez
AlphonseJFerdettaTrenton,665,5,"Trenton, Mercer County",Alphonse Ferdetta
JeffWEelmanClifton,666,5,"Clifton, Passaic County",Jeff Eelman
KeithKellyKinnelon,667,5,"Kinnelon, Morris County",Keith Kelly
KevinJNielsenSouthRiver,668,5,"South River, Middlesex County",Kevin Nielsen
TheodoreWetklowEdgewater,669,5,"Edgewater, Bergen County",Theodore Wetklow
MichaelTurnerTrenton,670,5,"Trenton, Mercer County",Michael Turner
DanielMartinezElmwoodPark,671,5,"Elmwood Park, Bergen County",Daniel Martinez
DanielJEvankowPointPleasantBeach,672,5,"Point Pleasant Beach, Ocean County",Daniel Evankow
NadineMClarkeLakewood,673,5,"Lakewood, Ocean County",Nadine Clarke
MichaelRunyonTrenton,674,5,"Trenton, Mercer County",Michael Runyon
AmarielPerezVineland,675,5,"Vineland, Cumberland County",Amariel Perez
PhilipABiancoTomsRiver,676,5,"Toms River, Ocean County",Philip Bianco
DavidCruzTrenton,677,5,"Trenton, Mercer County",David Cruz
LukeRLannoFranklin,678,5,"Franklin, Somerset County",Luke Lanno
AlexDorleantIrvington,679,5,"Irvington, Essex County",Alex Dorleant
TheodoreEspadaCamden,680,5,"Camden, Camden County",Theodore Espada
KevinLameyBridgewater,681,5,"Bridgewater, Somerset County",Kevin Lamey
JamesHartnettPennsauken,682,5,"Pennsauken, Camden County",James Hartnett
GeneVHayesClifton,683,5,"Clifton, Passaic County",Gene Hayes
StevenJKrushinskyHarrison,684,5,"Harrison, Hudson County",Steven Krushinsky
MarkEhrenburgKinnelon,685,5,"Kinnelon, Morris County",Mark Ehrenburg
TheodoreLPardoHighlandPark,686,5,"Highland Park, Middlesex County",Theodore Pardo
GeraldChiavelliElmwoodPark,687,5,"Elmwood Park, Bergen County",Gerald Chiavelli
CarlTuckerCamden,688,5,"Camden, Camden County",Carl Tucker
MJGolenieckiNJSP,689,5,"NJSP, State Police",M Goleniecki
JasonMHovermannBridgetonCity,690,5,"Bridgeton City, Cumberland County",Jason Hovermann
DavidCJonesBridgetonCity,691,5,"Bridgeton City, Cumberland County",David Jones
MichaelPackwoodBridgewater,692,5,"Bridgewater, Somerset County",Michael Packwood
RaymondMcGuireHarrison,693,5,"Harrison, Hudson County",Raymond McGuire
RandyDPelleyBridgewater,694,5,"Bridgewater, Somerset County",Randy Pelley
KevinWShiffnerHighlandPark,695,5,"Highland Park, Middlesex County",Kevin Shiffner
DonaldJGottlickPlainfield,696,5,"Plainfield, Union County",Donald Gottlick
ChristopherADecostaHighlandPark,697,5,"Highland Park, Middlesex County",Christopher Decosta
NicholasJGambinoFranklin,698,5,"Franklin, Somerset County",Nicholas Gambino
DarrylKSwinsonTrenton,699,5,"Trenton, Mercer County",Darryl Swinson
JoseAguiarHillside,700,5,"Hillside, Union County",Jose Aguiar
MelvinFuentesCamden,701,5,"Camden, Camden County",Melvin Fuentes
JeffreyCWheelerPennsauken,702,5,"Pennsauken, Camden County",Jeffrey Wheeler
ShadGiacomarroElmwoodPark,703,5,"Elmwood Park, Bergen County",Shad Giacomarro
MichaelGuzmanFranklinTownship,704,5,"Franklin Township, Gloucester County",Michael Guzman
MatthewRWeithenauerSeasideHeights,705,5,"Seaside Heights, Ocean County",Matthew Weithenauer
JohnWGeeseySouthRiver,706,5,"South River, Middlesex County",John Geesey
MarkDStorchBrick,707,5,"Brick, Ocean County",Mark Storch
KonstantinaSavridesEdgewater,708,5,"Edgewater, Bergen County",Konstantina Savrides
RichardABrunoJamesburg,709,5,"Jamesburg, Middlesex County",Richard Bruno
JamesParsonsSpotswood,710,5,"Spotswood, Middlesex County",James Parsons
MichaelGallipoliTomsRiver,711,5,"Toms River, Ocean County",Michael Gallipoli
RicardoCruzMiddletown,712,5,"Middletown, Monmouth County",Ricardo Cruz
CharlesDBevinsPennsauken,713,5,"Pennsauken, Camden County",Charles Bevins
StephenGBaileyPlainfield,714,5,"Plainfield, Union County",Stephen Bailey
RobertJReillyBridgewater,715,5,"Bridgewater, Somerset County",Robert Reilly
CoreyKarasHarrison,716,5,"Harrison, Hudson County",Corey Karas
ShantellMFranklinHillside,717,5,"Hillside, Union County",Shantell Franklin
BrianABlathBridgewater,718,5,"Bridgewater, Somerset County",Brian Blath
KeithLDiehlTomsRiver,719,5,"Toms River, Ocean County",Keith Diehl
WilliamBullockHoboken,720,5,"Hoboken, Hudson County",William Bullock
EdRingEdgewater,721,5,"Edgewater, Bergen County",Ed Ring
JamesReillyFranklinTownship,722,5,"Franklin Township, Gloucester County",James Reilly
StevenJCronceBranchburg,723,5,"Branchburg, Somerset County",Steven Cronce
LawrencePetrolaBrick,724,5,"Brick, Ocean County",Lawrence Petrola
MichaelMaliaBloomfield,725,5,"Bloomfield, Essex County",Michael Malia
EarlGBurgmannBridgetonCity,726,5,"Bridgeton City, Cumberland County",Earl Burgmann
JonathanDelaneyDover,727,5,"Dover, Morris County",Jonathan Delaney
DanielRadetichCamden,728,5,"Camden, Camden County",Daniel Radetich
GraceBohnCamden,729,5,"Camden, Camden County",Grace Bohn
ThomasJCarrollMiddlesex,730,5,"Middlesex, Middlesex County",Thomas Carroll
TerranceGaschlerPennsauken,731,5,"Pennsauken, Camden County",T Gaschler
IssacMarcanoBridgetonCity,732,5,"Bridgeton City, Cumberland County",Issac Marcano
KyleRForcinitoClayton,733,5,"Clayton, Gloucester County",Kyle Forcinito
BekimDushajEdgewater,734,5,"Edgewater, Bergen County",Bekim Dushaj
ThomasMLucasiewiczMonroe,735,5,"Monroe, Middlesex County",Thomas Lucasiewicz
WilliamWDonovanMantua,736,5,"Mantua, Gloucester County",William Donovan
CharlesPDewaltGloucester,737,5,"Gloucester, Camden County",Charles DeWalt
JoshuaAJenssenBrick,738,5,"Brick, Ocean County",Joshua Jenssen
LucasMurrayCamden,739,5,"Camden, Camden County",Lucas Murray
