Row Labels,Count of church,Address,Change to:,Flag
"St. Margaret of Corona, Little Ferry",1,,"St. Margaret of Cortona, Little Ferry",
"St. Margaret of Cortona, Little Ferry",1,,"St. Margaret of Cortona, Little Ferry",
"St. Margaret, Woodbury Heights",4,,,It's a school and a church?
"St. Maria Goretti, Runnemede",4,,,
"St. Martin de Porres, Hammonton",3,,,Doesn't exist anymore
"St. Mary - Star of the Sea, Bayonne",1,,,
St. Mary Hospital,1,Passaic?,St. Mary's General Hospital,
"St. Mary Magdalen, Millville",4,,,It's a church and a school?
"St. Mary of the Angels Academy, Haddonfield",1,,,
"St. Mary of the Assumption, Elizabeth",2,,,It's a church and a school?
"St. Mary, Cherry Hill",4,,,
"St. Mary, Dumont",2,,"St. Mary's, Dumont",
"St. Mary, Elizabeth",1,,,It's a church and a school?
"St. Mary, Gloucester",9,,"St. Mary's, Gloucester",
"St. Mary, Jersey City",4,,,It's a church and a school?
"St. Mary, Nutley",1,,"St. Mary's, Nutley",
"St. Mary, Paterson",1,,,"There is also a St. Mary in the Paterson Parish, need to confirm which one this is"
"St. Mary, Perth Amboy",1,,,May no longer exist
"St. Mary, Plainfield",1,,"St. Mary's, Plainfield",
"St. Mary, Rosenhayn",1,,"St. Mary's, Rosenhayn",
"St. Mary, Rutherford",2,,,
"St. Mary, Salem, NJ",4,,"St. Mary's, Salem, NJ",
"St. Mary, Williamstown",6,,,There's also a school there called St. Mary's
"St. Mary's, Cherry Hill",1,,,
"St. Mary's, Shelby, NC",1,,"St. Mary Help of Christians, Shelby, NC",
"St. Mary's Nursing Home, Cherry Hill",1,,,
"St. Matthew, Edison",1,,"St. Matthew the Apostle, Edison",
"St. Matthew, National Park",3,,"St. Matthew's, National Park",
"St. Matthew, Ridgefield",2,,,
"St. Matthias, Somerset",1,,,
"St. Maurice, Brooklawn",3,,,
"St. Michael Church, Jersey City",1,,,
"St. Michael Medical Center, Newark",1,,"St. Michael's Medical Center, Newark",
"St. Michael, Atlantic City",4,,"St. Michael's, Atlantic City",Doesn't appear to exist anymore
"St. Michael, Cedarville",7,,,
"St. Michael, Cranford",1,,,
"St. Michael, Gibbstown",5,,,
"St. Michael, Jersey City",1,,,
"St. Michael, Minotola",1,,,
"St. Michael, Union",1,,,
"St. Michael's, Palisades Park",1,,,
"St. Monica, Atlantic City",1,,,
"St. Nicholas Grammar School, Atlantic City",1,,,
"St. Nicholas of Tolentine, Atlantic City",1,,,
"St. Nicholas, Egg Harbor",3,,,
"St. Nicholas, Jersey City",2,,,It's a church and a school
"St. Patrick Pro-Cathedral, Newark",1,,"St. Patrick's Pro-Cathedral, Newark",
"St. Patrick, Elizabeth",1,,"St. Patrick's, Elizabeth",
"St. Patrick, Woodbury",6,,"St. Patrick's, Woodbury",
"St. Paul of the Cross, Jersey City",2,,,
"St. Paul, Stone Harbor",3,,,
"St. Peter Celestine, Cherry Hill",4,,,
"St. Peter Claver, Montclair",1,,,
"St. Peter the Apostle, New Brunswick",1,,,
"St. Peter the Apostle, River Edge",2,,,
"St. Peter, Merchantville",7,,,
"St. Peter, Pleasantville",4,,,
"St. Philip and St. James, Phillipsburg",3,,,
"St. Philip the Apostle, Saddle Brook",1,,,
"St. Philomena, Livingston",4,,,
"St. Pius X High School, Piscataway",1,,,
"St. Pius X, Cherry Hill",4,,,
"St. Pius X, Old Tappan",1,,,
"St. Raphael, Livingston",1,,,
"St. Raymond, Villas",2,,,
"St. Rocco Community Outreach Center, Newark",1,,,
"St. Rocco Parish, Newark",1,,,Could include the school?
"St. Rocco School, Newark",1,,,
"St. Rose of Lima, Haddon Heights",4,,"St. Rose of Lima, Haddon Heights",Could also be a school?
"St. Rose of Lima, Newfield",1,,,
"St. Rose of Lima, Short Hills",4,,,
"St. Rose, Haddon Heights",5,,"St. Rose of Lima, Haddon Heights",Could also be a school? / Same as above
"St. Rose, Newfield",4,,"St. Rose of Lima, Newfield",
"St. Stanislaus Kostka, Sayreville",1,,,
"St. Stephen, Pennsauken",5,,,
"St. Teresa of Avila, Bridgeton",1,,,
"St. Teresa of Avila, Summit",1,,,
"St. Teresa, Runnemede",3,,"St. Teresa, Runnemede",Could also be a school?
"St. Theresa, Kenilworth",2,,,
"St. Theresa, Runnemede",1,,"St. Teresa, Runnemede",Could also be a school? / same as above
"St. Thomas More, Cherry Hill",3,,,
"St. Thomas the Apostle, Old Bridge",1,,,
"St. Thomas, Brigantine",5,,"St. Thomas, Brigantine",
"St. Thomas, Brigantine - weekends",1,,"St. Thomas, Brigantine",Same as above
"St. Valentine, Bloomfield",3,,,
"St. Veronica, Delair",1,,,
"St. Vincent de Paul, Bayonne",2,,,
"St. Vincent de Paul, Mays Landing",2,,,
"St. Vincent Pallotti, Haddon Township",1,,,
"Stevens Institute of Technology, Hoboken",1,,,
"Sts. Peter & Paul, Turnersville",1,,"Sts. Peter & Paul, Turnersville",
"Sts. Peter & Paul, Washington Township",1,,"Sts. Peter & Paul, Turnersville",same as above
"Sts. Peter and Paul, Turnersville",1,,"Sts. Peter & Paul, Turnersville",same as above
"Temporary Assignment Diocese of Trenton, Sea Bright",1,,"Trenton Diocese, Sea Bright",
"Temporary Chaplain - Valley Hospital, Ridgewood",1,,"Valley Hospital, Ridgewood ",Same as below
"Transfiguration, West Collingswood",3,,,
"U.S. Naval Air Station, Norfolk",1,,,
"Union Catholic Regional High School, Scotch Plains",1,,,
US Army - Chaplain,1,,,
"US Army Chaplain School, Ft. Wadsworth",1,,,
US Army,1,,,
"US Naval Reserve,",1,,,
"Valley Hospital, Ridgewood",1,,"Valley Hospital, Ridgewood ",
"Veteran's Administrative Hospital, Batavia",1,,"Veterans Administration Hospital, Batavia",
"Vianney Renewal Center, Dittmer, MO",1,,,
"Vianney Villa, Cherry Hill",2,,,
Villanova University,1,,,
"West Jersey Hospital - Chaplain, Camden",1,,"West Jersey Hospital, Camden",
